,image,angle
36461,36462.jpg,47.7
34252,34253.jpg,-75.83
21137,21138.jpg,0.0
12491,12492.jpg,0.0
16131,16132.jpg,14.22
42328,42329.jpg,-7.97
41505,41506.jpg,-0.81
17653,17654.jpg,1.92
23396,23397.jpg,1.82
4840,4841.jpg,0.0
13213,13214.jpg,0.91
43717,43718.jpg,14.02
30868,30869.jpg,-1.82
26475,26476.jpg,8.67
22651,22652.jpg,-7.36
14783,14784.jpg,-12.81
38816,38817.jpg,8.27
11546,11547.jpg,2.42
11505,11506.jpg,0.0
29000,29001.jpg,-1.11
39172,39173.jpg,-25.11
1847,1848.jpg,0.0
12373,12374.jpg,26.12
1222,1223.jpg,-8.07
33722,33723.jpg,-35.9
7825,7826.jpg,16.64
3466,3467.jpg,-0.4
22084,22085.jpg,-0.61
42904,42905.jpg,0.3
42741,42742.jpg,14.52
33266,33267.jpg,-27.93
3844,3845.jpg,1.71
35780,35781.jpg,-69.38
15947,15948.jpg,-10.18
22766,22767.jpg,-6.76
14063,14064.jpg,-4.03
9165,9166.jpg,21.18
21039,21040.jpg,27.83
19676,19677.jpg,3.23
38508,38509.jpg,8.27
12521,12522.jpg,-3.33
37077,37078.jpg,-56.97
7558,7559.jpg,0.2
4242,4243.jpg,-5.45
31983,31984.jpg,7.76
28244,28245.jpg,43.46
18561,18562.jpg,4.74
41983,41984.jpg,-0.81
15924,15925.jpg,-10.49
33957,33958.jpg,8.07
30500,30501.jpg,50.32
9155,9156.jpg,20.97
45089,45090.jpg,1.61
71,72.jpg,1.71
14832,14833.jpg,14.72
37617,37618.jpg,-0.81
39300,39301.jpg,3.43
29370,29371.jpg,-11.19
41096,41097.jpg,0.0
42051,42052.jpg,-4.13
24607,24608.jpg,54.76
20738,20739.jpg,0.0
1297,1298.jpg,212.87
25559,25560.jpg,9.98
11038,11039.jpg,2.52
14551,14552.jpg,-8.87
32429,32430.jpg,-16.84
9053,9054.jpg,23.39
22546,22547.jpg,-6.35
2490,2491.jpg,0.2
30496,30497.jpg,49.71
16871,16872.jpg,-0.2
9485,9486.jpg,-7.97
2337,2338.jpg,10.49
4435,4436.jpg,184.74
8276,8277.jpg,5.14
622,623.jpg,-4.44
2343,2344.jpg,9.28
40559,40560.jpg,-0.91
28700,28701.jpg,6.66
35619,35620.jpg,-12.81
21943,21944.jpg,0.81
7799,7800.jpg,16.34
38045,38046.jpg,2.82
7643,7644.jpg,0.71
22485,22486.jpg,-8.07
13411,13412.jpg,8.57
8630,8631.jpg,-10.08
35009,35010.jpg,68.67
22130,22131.jpg,2.32
43479,43480.jpg,-7.16
18792,18793.jpg,-0.3
23747,23748.jpg,-14.62
25847,25848.jpg,-72.81
35702,35703.jpg,-39.93
44541,44542.jpg,9.78
20782,20783.jpg,7.76
19944,19945.jpg,9.38
15386,15387.jpg,-16.54
3129,3130.jpg,4.44
11108,11109.jpg,1.21
39379,39380.jpg,10.29
14408,14409.jpg,-7.26
28260,28261.jpg,39.83
32669,32670.jpg,-4.84
44760,44761.jpg,8.97
35082,35083.jpg,74.82
13674,13675.jpg,26.92
