,frame_id,angle,public,torque,speed,File,angle_range,labels
1312,1.48e+18,-0.098298706,1,,,1479425506794044997.jpg,"(-0.248, -0.0977]",1
3741,1.48e+18,0.009367802,1,,,1479425628265223606.jpg,"(0.00366, 0.0197]",5
2516,1.48e+18,0.027925268,1,,,1479425567004604424.jpg,"(0.0197, 0.0492]",6
3128,1.48e+18,-0.198013208,0,,,1479425597609894868.jpg,"(-0.248, -0.0977]",1
543,1.48e+18,0.275300115,0,,,1479425468337392490.jpg,"(0.24, 0.95]",9
3102,1.48e+18,-0.027925268,0,,,1479425596309715426.jpg,"(-0.0419, -0.0105]",3
1014,1.48e+18,0.052175476,0,,,1479425491891374656.jpg,"(0.0492, 0.104]",7
4364,1.48e+18,-0.389208436,0,,,1479425659420685386.jpg,"(-0.879, -0.248]",0
1106,1.48e+18,-0.345575184,0,,,1479425496492239141.jpg,"(-0.879, -0.248]",0
5061,1.48e+18,-0.015707964,0,,,1479425694276888076.jpg,"(-0.0419, -0.0105]",3
1135,1.48e+18,0.132611087,0,,,1479425497942440843.jpg,"(0.104, 0.24]",8
4475,1.48e+18,0.015196272,0,,,1479425664971653161.jpg,"(0.00366, 0.0197]",5
4695,1.48e+18,0.082078918,1,,,1479425675973614051.jpg,"(0.0492, 0.104]",7
4416,1.48e+18,-0.279407068,0,,,1479425662021125393.jpg,"(-0.879, -0.248]",0
4350,1.48e+18,-0.36099613,1,,,1479425658720653283.jpg,"(-0.879, -0.248]",0
4648,1.48e+18,0.050614547,1,,,1479425673623217387.jpg,"(0.0492, 0.104]",7
674,1.48e+18,-0.003490658,0,,,1479425474888420539.jpg,"(-0.0105, 0.00366]",4
381,1.48e+18,0.228086914,1,,,1479425460235891152.jpg,"(0.104, 0.24]",8
2544,1.48e+18,0.001745329,1,,,1479425568404770234.jpg,"(-0.0105, 0.00366]",4
4905,1.48e+18,0.027925268,1,,,1479425686475458417.jpg,"(0.0197, 0.0492]",6
1296,1.48e+18,-0.246935769,1,,,1479425505993817337.jpg,"(-0.248, -0.0977]",1
4321,1.48e+18,-0.010471975,1,,,1479425657270317764.jpg,"(-0.0419, -0.0105]",3
1709,1.48e+18,0.099483766,0,,,1479425526647544180.jpg,"(0.0492, 0.104]",7
3729,1.48e+18,0.069184531,1,,,1479425627665182941.jpg,"(0.0492, 0.104]",7
1022,1.48e+18,-0.002202436,0,,,1479425492291606376.jpg,"(-0.0105, 0.00366]",4
2703,1.48e+18,0.049079424,0,,,1479425576356180302.jpg,"(0.0197, 0.0492]",6
4357,1.48e+18,-0.376991123,1,,,1479425659070632352.jpg,"(-0.879, -0.248]",0
444,1.48e+18,0.02617994,0,,,1479425463386544935.jpg,"(0.0197, 0.0492]",6
2329,1.48e+18,0.024480629,0,,,1479425557652890634.jpg,"(0.0197, 0.0492]",6
329,1.48e+18,-0.008068715,1,,,1479425457635453799.jpg,"(-0.0105, 0.00366]",4
5025,1.48e+18,0.015707964,0,,,1479425692476541845.jpg,"(0.00366, 0.0197]",5
5122,1.48e+18,-0.003638418,1,,,1479425697327399648.jpg,"(-0.0105, 0.00366]",4
1543,1.48e+18,0.001745329,0,,,1479425518346009073.jpg,"(-0.0105, 0.00366]",4
4083,1.48e+18,-0.266391718,0,,,1479425645368279023.jpg,"(-0.879, -0.248]",0
4530,1.48e+18,0.02617994,0,,,1479425667722153121.jpg,"(0.0197, 0.0492]",6
3541,1.48e+18,-0.40734263,0,,,1479425618263488115.jpg,"(-0.879, -0.248]",0
1378,1.48e+18,-0.240724308,1,,,1479425510094649582.jpg,"(-0.248, -0.0977]",1
89,1.48e+18,-0.095993109,0,,,1479425445633423016.jpg,"(-0.0977, -0.0419]",2
1207,1.48e+18,0.06244965,1,,,1479425501543086850.jpg,"(0.0492, 0.104]",7
5383,1.48e+18,0.001745329,1,,,1479425710379670187.jpg,"(-0.0105, 0.00366]",4
76,1.48e+18,-0.06981317,0,,,1479425444983260437.jpg,"(-0.0977, -0.0419]",2
3308,1.48e+18,0.551524043,1,,,1479425606611454684.jpg,"(0.24, 0.95]",9
1066,1.48e+18,-0.052359879,1,,,1479425494491938877.jpg,"(-0.0977, -0.0419]",2
316,1.48e+18,0.02080221,0,,,1479425456985195670.jpg,"(0.0197, 0.0492]",6
401,1.48e+18,0.24085544,0,,,1479425461236058072.jpg,"(0.24, 0.95]",9
5460,1.48e+18,-0.139626339,0,,,1479425714230287152.jpg,"(-0.248, -0.0977]",1
1881,1.48e+18,-0.362351973,0,,,1479425535249070641.jpg,"(-0.879, -0.248]",0
415,1.48e+18,0.322510055,0,,,1479425461936239444.jpg,"(0.24, 0.95]",9
946,1.48e+18,0.494842091,0,,,1479425488490792360.jpg,"(0.24, 0.95]",9
1055,1.48e+18,-0.023030128,0,,,1479425493941976216.jpg,"(-0.0419, -0.0105]",3
535,1.48e+18,0.210981943,0,,,1479425467937326324.jpg,"(0.104, 0.24]",8
3148,1.48e+18,-0.328131132,0,,,1479425598610057007.jpg,"(-0.879, -0.248]",0
5021,1.48e+18,0.015707964,0,,,1479425692276452574.jpg,"(0.00366, 0.0197]",5
5034,1.48e+18,0.008726646,0,,,1479425692926626601.jpg,"(0.00366, 0.0197]",5
776,1.48e+18,-0.099303412,0,,,1479425479989369360.jpg,"(-0.248, -0.0977]",1
5478,1.48e+18,-0.102738926,0,,,1479425715130476163.jpg,"(-0.248, -0.0977]",1
2330,1.48e+18,0.008976742,1,,,1479425557702931313.jpg,"(0.00366, 0.0197]",5
4519,1.48e+18,0.080826955,1,,,1479425667172010234.jpg,"(0.0492, 0.104]",7
5584,1.48e+18,-0.097457524,1,,,1479425720431335470.jpg,"(-0.0977, -0.0419]",2
4171,1.48e+18,-0.164096918,0,,,1479425649769090518.jpg,"(-0.248, -0.0977]",1
4572,1.48e+18,0.022689281,0,,,1479425669822597827.jpg,"(0.0197, 0.0492]",6
5507,1.48e+18,-0.129154369,1,,,1479425716580640673.jpg,"(-0.248, -0.0977]",1
67,1.48e+18,-0.025360755,1,,,1479425444533172421.jpg,"(-0.0419, -0.0105]",3
4900,1.48e+18,-0.000858379,1,,,1479425686225448864.jpg,"(-0.0105, 0.00366]",4
2333,1.48e+18,-0.029608997,1,,,1479425557853035795.jpg,"(-0.0419, -0.0105]",3
910,1.48e+18,0.099774616,0,,,1479425486690542196.jpg,"(0.0492, 0.104]",7
4251,1.48e+18,0.931812618,1,,,1479425653769686308.jpg,"(0.24, 0.95]",9
1943,1.48e+18,-0.312413931,0,,,1479425538349579429.jpg,"(-0.879, -0.248]",0
1383,1.48e+18,-0.241815695,1,,,1479425510344672783.jpg,"(-0.248, -0.0977]",1
4664,1.48e+18,0.009961013,1,,,1479425674423407941.jpg,"(0.00366, 0.0197]",5
2323,1.48e+18,0.033159142,0,,,1479425557352932899.jpg,"(0.0197, 0.0492]",6
2684,1.48e+18,-0.111595542,0,,,1479425575406037431.jpg,"(-0.248, -0.0977]",1
4465,1.48e+18,-0.027735712,0,,,1479425664471621530.jpg,"(-0.0419, -0.0105]",3
2233,1.48e+18,0.183759954,1,,,1479425552852169654.jpg,"(0.104, 0.24]",8
3788,1.48e+18,0.068067841,0,,,1479425630615661897.jpg,"(0.0492, 0.104]",7
3055,1.48e+18,0.244747645,0,,,1479425593959296809.jpg,"(0.24, 0.95]",9
2836,1.48e+18,0.123918377,0,,,1479425583007457114.jpg,"(0.104, 0.24]",8
3412,1.48e+18,-0.37217641,1,,,1479425611812385726.jpg,"(-0.879, -0.248]",0
5459,1.48e+18,-0.139626339,1,,,1479425714180234054.jpg,"(-0.248, -0.0977]",1
3889,1.48e+18,-0.04712389,1,,,1479425635666613863.jpg,"(-0.0977, -0.0419]",2
2347,1.48e+18,-0.024434609,0,,,1479425558553107912.jpg,"(-0.0419, -0.0105]",3
2966,1.48e+18,0.099483766,0,,,1479425589508601928.jpg,"(0.0492, 0.104]",7
3517,1.48e+18,-0.160424486,0,,,1479425617063247353.jpg,"(-0.248, -0.0977]",1
4891,1.48e+18,-0.075049154,1,,,1479425685775420962.jpg,"(-0.0977, -0.0419]",2
1390,1.48e+18,-0.193499827,0,,,1479425510694740913.jpg,"(-0.248, -0.0977]",1
4276,1.48e+18,0.515660639,1,,,1479425655019898414.jpg,"(0.24, 0.95]",9
2983,1.48e+18,0.114304626,0,,,1479425590358761928.jpg,"(0.104, 0.24]",8
2127,1.48e+18,0.013962634,0,,,1479425547551208335.jpg,"(0.00366, 0.0197]",5
2073,1.48e+18,0.068367235,0,,,1479425544850680417.jpg,"(0.0492, 0.104]",7
4305,1.48e+18,0.020943951,1,,,1479425656470228315.jpg,"(0.0197, 0.0492]",6
792,1.48e+18,0.015464036,1,,,1479425480789486716.jpg,"(0.00366, 0.0197]",5
2442,1.48e+18,-0.010471975,1,,,1479425563304268169.jpg,"(-0.0419, -0.0105]",3
719,1.48e+18,-0.070451566,1,,,1479425477138807785.jpg,"(-0.0977, -0.0419]",2
3959,1.48e+18,0.024107675,1,,,1479425639167191510.jpg,"(0.0197, 0.0492]",6
2587,1.48e+18,-0.031418384,0,,,1479425570555205385.jpg,"(-0.0419, -0.0105]",3
3774,1.48e+18,0.054105207,1,,,1479425629915533807.jpg,"(0.0492, 0.104]",7
4843,1.48e+18,-0.075709522,1,,,1479425683374898467.jpg,"(-0.0977, -0.0419]",2
4647,1.48e+18,0.049240703,0,,,1479425673573271620.jpg,"(0.0197, 0.0492]",6
4408,1.48e+18,-0.46144655,0,,,1479425661621085341.jpg,"(-0.879, -0.248]",0
2157,1.48e+18,0.0,0,,,1479425549051438596.jpg,"(-0.0105, 0.00366]",4
2039,1.48e+18,0.33794858,1,,,1479425543150410078.jpg,"(0.24, 0.95]",9
3847,1.48e+18,0.072896061,0,,,1479425633566247848.jpg,"(0.0492, 0.104]",7
5249,1.48e+18,0.008846325,1,,,1479425703678476430.jpg,"(0.00366, 0.0197]",5
